"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","30229","should mock 3rd party API with MSW","firefox","Mon Sep 08 21:46:42 PDT 2025","broken","Mon Sep 08 21:47:13 PDT 2025","","msw-demo.spec.ts","",""
"","7916","should create user via API and verify in UI","firefox","Tue Sep 16 18:12:08 PDT 2025","failed","Tue Sep 16 18:12:16 PDT 2025","","api-ui-combined.spec.ts","",""
"","7543","should create user via API and verify in UI","chromium","Tue Sep 16 18:12:08 PDT 2025","failed","Tue Sep 16 18:12:16 PDT 2025","","api-ui-combined.spec.ts","",""
"","30068","should mock 3rd party API with MSW","chromium","Mon Sep 08 21:46:37 PDT 2025","broken","Mon Sep 08 21:47:07 PDT 2025","","msw-demo.spec.ts","",""
"","5518","should create user via API and verify in UI","webkit","Tue Sep 16 18:12:23 PDT 2025","failed","Tue Sep 16 18:12:29 PDT 2025","","api-ui-combined.spec.ts","",""
"","9","should mock 3rd party API with MSW","webkit","Tue Sep 16 18:12:25 PDT 2025","skipped","Tue Sep 16 18:12:25 PDT 2025","MSW Mocking","msw-demo.spec.ts","",""
"","11444","should add pliers to cart and verify cart increment and toaster","firefox","Tue Sep 16 18:12:08 PDT 2025","passed","Tue Sep 16 18:12:20 PDT 2025","Hand Tools - Add Pliers to Cart","add-pliers-to-cart.spec.ts","",""
"","7731","should add pliers to cart and verify cart increment and toaster","webkit","Tue Sep 16 18:12:21 PDT 2025","passed","Tue Sep 16 18:12:29 PDT 2025","Hand Tools - Add Pliers to Cart","add-pliers-to-cart.spec.ts","",""
"","30076","should mock 3rd party API with MSW","webkit","Mon Sep 08 21:47:00 PDT 2025","broken","Mon Sep 08 21:47:31 PDT 2025","","msw-demo.spec.ts","",""
"","11511","should add pliers to cart and verify cart increment and toaster","chromium","Tue Sep 16 18:12:08 PDT 2025","passed","Tue Sep 16 18:12:20 PDT 2025","Hand Tools - Add Pliers to Cart","add-pliers-to-cart.spec.ts","",""
"","7","should mock 3rd party API with MSW","chromium","Tue Sep 16 18:12:06 PDT 2025","skipped","Tue Sep 16 18:12:06 PDT 2025","MSW Mocking","msw-demo.spec.ts","",""
"","373","should mock 3rd party API with Playwright page.route","webkit","Tue Sep 16 18:12:26 PDT 2025","passed","Tue Sep 16 18:12:27 PDT 2025","","playwright-mock-demo.spec.ts","",""
"","2379","should mock 3rd party API with Playwright page.route","chromium","Tue Sep 16 18:12:08 PDT 2025","passed","Tue Sep 16 18:12:11 PDT 2025","","playwright-mock-demo.spec.ts","",""
"","3263","should mock 3rd party API with Playwright page.route","firefox","Tue Sep 16 18:12:08 PDT 2025","passed","Tue Sep 16 18:12:11 PDT 2025","","playwright-mock-demo.spec.ts","",""
"","7","should mock 3rd party API with MSW","firefox","Tue Sep 16 18:12:06 PDT 2025","skipped","Tue Sep 16 18:12:06 PDT 2025","MSW Mocking","msw-demo.spec.ts","",""
